nome,valor,cpf,matricula,inclusao
Carolina Cavalcanti,500.25,140.776.324-55,29367,6/25/2019
Murilo Oliveira,277.14,310.234.525-53,18080,6/15/2019
Julian Souza,744.87,851.903.640-62,20583,6/25/2019
Matilde Oliveira,345.45,701.706.151-97,39681,6/10/2019
Murilo Azevedo,135.17,121.590.048-12,36504,6/4/2019
Felipe Carvalho,570.41,721.033.033-00,26443,6/4/2019
Melissa Almeida,395.89,496.918.263-99,27713,6/6/2019
Thaís Martins,988.69,950.801.669-83,46263,6/8/2019
Joao Gomes,902.33,739.998.500-60,16398,6/21/2019
Vitória Cardoso,147.50,399.737.301-94,18013,6/4/2019
Beatrice Barros,665.42,383.369.609-53,22661,6/22/2019
Victor Araujo,355.85,483.468.751-18,16218,6/13/2019
Gabrielly Rodrigues,293.20,657.322.476-02,47755,6/5/2019
Evelyn Sousa,624.68,713.592.086-40,32594,6/12/2019
Julian Goncalves,586.37,834.164.428-22,17296,6/20/2019
Rafaela Sousa,534.93,460.634.535-71,12617,6/5/2019
Leonardo Silva,818.86,118.983.693-99,42877,6/12/2019
Carolina Dias,388.97,530.949.219-49,48257,6/20/2019
Paulo Cavalcanti,826.83,254.894.444-10,23247,6/8/2019
Leila Costa,292.11,831.342.130-44,44354,6/5/2019
Kauan Goncalves,220.90,522.680.985-91,48309,6/10/2019
Martim Azevedo,971.96,369.286.526-08,17358,6/11/2019
Julia Azevedo,263.69,839.480.135-86,48383,6/13/2019
Thiago Carvalho,964.23,970.002.513-60,39362,6/13/2019
Nicolas Silva,874.23,698.874.205-06,14188,6/1/2019
Rafaela Carvalho,554.46,184.170.670-19,17813,6/11/2019
Letícia Souza,848.64,165.586.641-94,43075,6/4/2019
Joao Souza,411.76,527.819.632-75,41733,6/24/2019
Mariana Cunha,815.08,853.638.835-89,19113,6/22/2019
Luana Rocha,202.36,273.178.255-22,23908,6/24/2019
Miguel Ferreira,317.12,270.694.048-40,31167,6/29/2019
Eduardo Almeida,159.06,119.485.882-18,37108,6/14/2019
Martim Goncalves,553.16,334.003.035-93,21641,6/8/2019
Aline Ferreira,198.66,139.515.278-03,21958,6/5/2019
Luiz Cunha,908.89,954.178.218-37,13082,6/3/2019
Guilherme Melo,336.05,304.028.435-50,39271,6/24/2019
Letícia Souza,636.31,636.599.425-70,14815,6/30/2019
Isabella Dias,791.96,740.939.196-07,12193,6/23/2019
Sofia Pinto,379.23,201.445.751-40,34105,6/18/2019
Antônio Silva,101.16,353.182.257-80,24991,6/14/2019
Diego Araujo,614.82,923.028.348-79,26116,6/6/2019
Mateus Cardoso,358.39,530.399.002-85,45035,6/1/2019
Anna Pinto,717.11,298.068.645-06,33853,6/5/2019
Livia Santos,660.68,871.664.415-85,19389,6/21/2019
Alex Carvalho,753.84,552.332.062-50,24763,6/21/2019
Maria Silva,169.90,628.535.040-00,47578,6/12/2019
Júlia Ribeiro,441.44,895.575.611-90,31412,6/17/2019
Aline Dias,857.64,233.833.144-30,17027,6/3/2019
Giovana Alves,452.25,205.976.791-18,28518,6/27/2019
Livia Lima,208.80,564.715.478-62,24067,6/15/2019
Emily Fernandes,472.15,854.598.371-97,39587,6/6/2019
Rebeca Souza,197.62,673.741.878-31,42916,6/15/2019
Kaua Cunha,179.62,929.374.105-96,43021,6/3/2019
Luis Souza,222.46,791.796.958-41,25325,6/15/2019
Samuel Martins,292.82,514.782.356-59,12323,6/15/2019
Luís Souza,515.58,461.545.879-70,20627,6/16/2019
Evelyn Cardoso,760.93,856.258.406-10,25642,6/8/2019
Isabelle Castro,963.03,908.784.996-60,24229,6/14/2019
Nicole Pinto,621.44,513.273.153-86,18253,6/6/2019
Raissa Fernandes,847.05,393.000.921-89,48073,6/20/2019
Giovanna Cardoso,552.38,728.715.011-57,12224,6/23/2019
Evelyn Oliveira,734.73,293.801.731-64,29324,6/10/2019
Sarah Pinto,927.33,934.982.148-61,43124,6/1/2019
Fernanda Castro,611.00,632.540.451-30,16580,6/16/2019
Vitor Castro,156.66,964.314.631-61,22947,6/11/2019
Luana Rocha,372.93,135.249.223-76,42428,6/10/2019
Tânia Costa,450.52,613.032.049-32,45822,6/21/2019
Felipe Martins,160.57,780.559.970-04,38045,6/8/2019
Douglas Rodrigues,763.45,411.087.309-65,22741,6/30/2019
Beatriz Pereira,713.10,948.885.848-69,11893,6/3/2019
Larissa Barros,311.50,949.208.565-80,24659,6/30/2019
Lucas Rocha,670.38,447.021.575-90,12939,6/6/2019
Leila Pinto,766.71,269.807.902-93,47454,6/12/2019
Carla Oliveira,928.28,486.127.017-08,36421,6/22/2019
Emily Sousa,198.92,608.968.602-64,20665,6/14/2019
Yasmin Lima,929.05,426.023.418-86,26653,6/19/2019
Danilo Souza,254.50,431.715.177-44,15516,6/13/2019
Clara Silva,850.23,318.752.059-69,44902,6/14/2019
Tiago Pinto,520.48,568.297.061-65,27238,6/21/2019
Giovana Carvalho,921.45,964.951.587-93,43267,6/11/2019
Raissa Goncalves,831.57,404.898.697-00,24460,6/26/2019
Erick Barros,290.20,294.050.917-43,37659,6/23/2019
Martim Azevedo,193.52,366.847.289-02,25858,6/11/2019
Ryan Silva,806.66,291.509.637-67,26800,6/17/2019
Miguel Melo,548.94,506.388.677-97,43799,6/18/2019
Kauan Alves,732.85,598.254.496-59,18331,6/4/2019
Marcos Costa,149.18,636.047.000-43,30336,6/30/2019
Rebeca Cavalcanti,517.10,536.082.693-20,35989,6/24/2019
Ana Araujo,474.30,979.631.849-00,15757,6/30/2019
Martim Rocha,923.93,976.676.261-97,42307,6/28/2019
Martim Pereira,640.81,582.600.995-00,47011,6/12/2019
Tânia Melo,461.29,812.472.098-30,10938,6/7/2019
Emily Gomes,687.24,517.756.421-51,15849,6/19/2019
Thaís Santos,249.76,163.125.396-44,44160,6/15/2019
Nicolas Fernandes,720.00,756.657.636-40,20656,6/10/2019
Melissa Araujo,351.71,747.187.088-50,27105,6/16/2019
Eduardo Fernandes,888.45,729.478.908-84,44515,6/20/2019
Fábio Rocha,541.53,448.474.610-70,41939,6/16/2019
Diogo Pinto,426.22,561.279.375-82,33957,6/2/2019
Yasmin Pinto,988.14,969.266.348-58,39049,6/14/2019
Vitoria Pinto,513.88,479.584.904-88,43504,6/2/2019
Eduarda Pinto,460.81,947.822.317-84,20353,6/13/2019
Vitória Oliveira,589.38,107.241.949-16,17001,6/1/2019
Kauan Ribeiro,427.35,639.511.702-55,48510,6/20/2019
Sarah Cardoso,852.00,938.057.277-80,42527,6/27/2019
Diogo Cunha,409.28,890.020.530-70,33902,6/2/2019
Raissa Azevedo,126.63,703.120.797-53,13843,6/2/2019
Paulo Rodrigues,905.47,546.339.768-69,43824,6/2/2019
Leonor Cunha,578.20,816.822.510-47,40292,6/23/2019
Vitória Almeida,136.43,856.047.529-08,28656,6/29/2019
Letícia Ribeiro,386.60,566.507.790-91,17810,6/21/2019
Marina Ribeiro,699.83,223.337.140-26,23023,6/17/2019
Gabrielly Cunha,496.96,674.786.054-35,11548,6/5/2019
Leonardo Correia,483.23,899.561.657-19,40564,6/10/2019
Alice Alves,376.09,748.983.562-30,34646,6/18/2019
Alice Castro,333.11,447.318.248-77,46272,6/24/2019
Lucas Almeida,176.88,585.767.867-61,25697,6/25/2019
Diego Correia,961.30,353.006.625-77,42886,6/9/2019
João Azevedo,795.48,597.164.197-24,22345,6/1/2019
André Martins,634.21,133.506.637-37,17958,6/3/2019
Melissa Rodrigues,818.87,743.883.114-05,37429,6/29/2019
José Costa,864.14,811.542.765-97,13794,6/27/2019
Ágatha Correia,572.22,919.761.575-79,44957,6/24/2019
Brenda Martins,799.69,292.556.748-70,16620,6/14/2019
Mariana Cunha,468.76,153.353.335-02,21972,6/9/2019
Erick Cunha,610.93,805.948.555-51,43278,6/6/2019
Livia Gomes,483.22,230.405.388-29,38294,6/15/2019
Fábio Barbosa,544.63,498.129.562-63,25599,6/11/2019
Luan Costa,807.42,180.344.896-20,16814,6/12/2019
Luís Melo,249.92,443.394.202-20,46004,6/27/2019
Maria Lima,127.42,550.808.208-53,26326,6/12/2019
Carlos Castro,555.56,409.987.422-28,31240,6/7/2019
Enzo Martins,513.19,424.004.835-40,22588,6/20/2019
Rebeca Martins,992.73,135.497.430-17,48073,6/13/2019
Ágatha Martins,307.78,300.411.416-01,47553,6/7/2019
Emily Lima,986.18,766.332.885-06,14756,6/4/2019
Gustavo Correia,100.00,489.572.443-36,45472,6/12/2019
Victor Lima,751.32,638.875.102-40,49138,6/21/2019
Antônio Pereira,367.57,866.882.113-00,36932,6/13/2019
Douglas Santos,138.75,291.593.446-01,42697,6/24/2019
Nicolash Martins,724.76,518.096.017-70,13495,6/23/2019
Luis Goncalves,349.25,640.932.343-37,31949,6/22/2019
Bruno Correia,631.31,492.322.037-66,39971,6/7/2019
Laura Ribeiro,815.09,206.226.775-43,32627,6/19/2019
Aline Souza,806.20,864.539.182-18,11715,6/16/2019
Murilo Araujo,244.86,830.891.423-33,29204,6/8/2019
Antônio Ferreira,292.34,343.365.954-02,21634,6/15/2019
Erick Barros,331.17,548.756.042-03,18939,6/22/2019
Amanda Gomes,543.48,647.012.185-37,21952,6/9/2019
Beatriz Goncalves,143.47,668.415.504-04,21715,6/9/2019
Douglas Fernandes,959.32,515.677.957-30,20269,6/13/2019
Ágatha Gomes,607.25,740.649.464-56,33795,6/9/2019
Isabella Gomes,737.15,475.078.047-20,30671,6/14/2019
Diego Silva,139.61,585.007.745-68,16741,6/30/2019
Paulo Rocha,885.64,816.120.688-04,33342,6/29/2019
Letícia Azevedo,170.95,470.495.864-71,18413,6/3/2019
Estevan Fernandes,163.69,810.558.734-30,17440,6/9/2019
Lavinia Sousa,257.72,570.559.744-45,43519,6/9/2019
Kauan Correia,942.79,171.301.747-49,15304,6/17/2019
Eduardo Almeida,130.08,906.423.783-20,27222,6/17/2019
Giovana Correia,353.79,359.744.912-38,24546,6/21/2019
Leila Azevedo,782.44,237.645.581-21,25038,6/21/2019
Fernanda Gomes,160.89,657.065.507-86,46159,6/9/2019
Pedro Rodrigues,746.23,473.301.562-30,29095,6/13/2019
Brenda Sousa,962.23,994.594.911-03,27437,6/1/2019
Tânia Pereira,429.15,140.879.414-42,46302,6/9/2019
Luana Martins,540.54,916.865.687-46,36996,6/28/2019
Alice Sousa,251.74,955.259.015-95,37106,6/5/2019
Cauã Castro,924.89,873.231.140-04,44133,6/1/2019
Larissa Souza,277.10,950.341.879-81,12383,6/6/2019
Felipe Lima,357.45,482.259.720-23,46651,6/14/2019
Evelyn Souza,152.38,451.147.316-10,22062,6/19/2019
Carlos Cavalcanti,476.30,895.049.960-60,13275,6/23/2019
Lavinia Azevedo,558.91,919.661.878-74,17258,6/8/2019
Thiago Cardoso,929.77,963.121.601-22,11114,6/3/2019
Julia Costa,854.62,607.701.561-00,15653,6/9/2019
Brenda Barbosa,118.16,472.296.427-01,20560,6/9/2019
Ágatha Araujo,296.01,589.278.976-41,43983,6/17/2019
Livia Ferreira,258.20,586.843.332-76,30530,6/26/2019
Rodrigo Melo,105.48,894.713.281-01,34503,6/9/2019
Vinicius Azevedo,783.47,906.373.480-87,15630,6/29/2019
Giovanna Pinto,704.01,604.317.405-77,44959,6/8/2019
Antônio Ribeiro,313.97,940.749.003-35,36958,6/8/2019
Enzo Carvalho,835.66,136.772.293-40,33608,6/20/2019
Julia Santos,912.20,364.866.187-60,47232,6/14/2019
Giovana Azevedo,503.05,761.791.556-07,28012,6/15/2019
Luana Correia,389.67,968.768.545-07,35731,6/20/2019
Gabriel Gomes,850.90,396.836.771-50,20700,6/9/2019
Matheus Barros,763.93,627.477.868-38,10437,6/1/2019
Nicolas Cardoso,554.35,628.889.880-54,24688,6/15/2019
Bruno Fernandes,932.79,571.745.830-40,38383,6/26/2019
Leonor Costa,396.40,472.478.548-98,28305,6/27/2019
Carlos Carvalho,886.61,917.518.685-32,33341,6/25/2019
Emilly Azevedo,523.03,341.868.384-37,43546,6/21/2019
Julian Silva,759.46,432.775.358-00,19982,6/20/2019
Gabrielly Melo,842.04,808.464.911-68,45784,6/29/2019
Alex Cardoso,673.73,554.126.344-19,47531,6/5/2019
Clara Pereira,869.71,170.673.703-37,16994,6/19/2019
Julieta Cunha,501.38,845.647.936-59,45776,6/19/2019
Davi Araujo,371.71,364.561.289-00,48407,6/4/2019
Danilo Castro,569.98,603.207.538-91,17584,6/21/2019
Gustavo Araujo,577.39,369.282.951-55,49222,6/3/2019
Luis Barros,834.85,392.408.038-07,17780,6/18/2019
Ágatha Pereira,731.95,130.196.937-05,22559,6/3/2019
Fábio Pinto,615.02,381.001.750-71,18342,6/16/2019
Giovanna Alves,451.06,903.804.953-68,20063,6/13/2019
Sarah Rocha,968.49,513.031.150-77,13763,6/21/2019
Vinícius Azevedo,876.23,302.903.986-22,38487,6/24/2019
Lavinia Carvalho,418.48,596.650.370-21,22968,6/17/2019
Luiz Cardoso,419.82,469.122.061-58,26024,6/16/2019
Tiago Rodrigues,762.55,491.348.166-58,26917,6/17/2019
Giovana Goncalves,916.27,823.922.707-40,29418,6/8/2019
Gabriela Melo,700.46,719.567.951-97,12338,6/11/2019
Livia Ferreira,512.18,567.163.693-09,46043,6/14/2019
Letícia Cunha,418.53,984.041.993-53,28937,6/8/2019
Vitór Rocha,873.95,148.660.068-97,14088,6/26/2019
Sophia Almeida,837.62,617.817.963-43,45868,6/12/2019
Leila Pereira,931.50,876.774.978-02,11896,6/1/2019
Nicole Cavalcanti,177.71,931.152.648-79,46033,6/11/2019
Kauan Almeida,298.79,214.096.368-79,26625,6/23/2019
Isabela Azevedo,554.03,844.348.019-02,44465,6/3/2019
Marcos Costa,962.13,133.369.645-04,21539,6/9/2019
Guilherme Correia,835.33,283.911.894-73,32618,6/8/2019
Paulo Goncalves,449.64,406.018.980-44,25698,6/23/2019
Kauã Lima,196.29,106.965.576-73,27538,6/6/2019
Larissa Cunha,613.35,232.971.057-71,32640,6/28/2019
Emily Ribeiro,634.99,220.568.311-04,11212,6/3/2019
Joao Cavalcanti,240.97,650.294.086-22,35790,6/21/2019
Yasmin Castro,830.46,625.701.342-95,18922,6/18/2019
Antônio Cardoso,304.05,767.137.606-00,41237,6/26/2019
Clara Costa,967.35,472.270.257-80,40423,6/8/2019
Alice Lima,820.24,512.922.571-64,11426,6/4/2019
Davi Azevedo,775.53,300.707.371-50,22517,6/11/2019
Ryan Cardoso,839.00,687.750.014-89,34053,6/6/2019
Guilherme Rocha,363.94,507.422.367-90,32529,6/29/2019
Davi Almeida,626.02,728.360.168-68,24539,6/6/2019
Carolina Cavalcanti,397.77,876.272.636-62,41964,6/18/2019
Yasmin Almeida,894.30,582.885.115-20,47437,6/13/2019
Erick Ferreira,472.82,510.298.550-72,32924,6/27/2019
Murilo Santos,349.22,237.893.828-41,37565,6/9/2019
Beatrice Alves,767.49,308.359.901-33,13806,6/13/2019
Mateus Alves,515.09,526.369.436-92,20779,6/25/2019
Carolina Alves,964.73,445.750.043-75,29048,6/4/2019
Mariana Dias,333.00,695.286.263-35,29662,6/4/2019
Leila Cardoso,976.04,756.060.303-30,11524,6/28/2019
Rafaela Cunha,129.60,492.111.269-08,15754,6/17/2019
Breno Carvalho,635.20,492.735.425-30,13053,6/1/2019
Paulo Castro,354.21,930.820.644-26,38567,6/27/2019
Bruna Alves,917.31,375.664.021-37,47735,6/22/2019
Leila Pereira,149.67,790.872.683-60,42825,6/10/2019
Arthur Barros,665.86,169.475.394-80,39458,6/10/2019
Tomás Alves,458.22,865.995.573-09,44498,6/25/2019
Julia Pinto,294.10,970.846.248-99,12615,6/28/2019
Fábio Rodrigues,621.32,201.748.974-30,18272,6/16/2019
Maria Rocha,124.12,724.770.914-68,47201,6/12/2019
Gabrielle Ribeiro,688.85,510.994.392-30,37978,6/30/2019
Aline Almeida,417.65,197.693.161-48,22973,6/3/2019
Leonardo Cardoso,203.36,882.737.337-34,14465,6/12/2019
Marina Cavalcanti,860.32,193.612.970-15,29146,6/30/2019
Otávio Rodrigues,989.36,854.582.520-04,36207,6/29/2019
Ana Cavalcanti,779.28,353.738.653-20,13727,6/7/2019
Daniel Rocha,412.89,935.920.808-65,24547,6/23/2019
Beatriz Souza,379.70,633.973.295-07,16223,6/15/2019
Gabriela Alves,183.77,431.112.881-96,12426,6/25/2019
Kauê Ferreira,465.79,569.067.288-22,37539,6/11/2019
Marisa Alves,538.67,598.699.875-83,23051,6/16/2019
Vinicius Cavalcanti,970.78,543.029.822-09,36521,6/17/2019
Laura Pinto,501.05,222.080.529-86,13153,6/1/2019
Fernanda Ribeiro,641.15,598.636.760-04,28211,6/26/2019
Marisa Costa,442.63,251.392.334-01,22187,6/19/2019
Kauan Dias,462.57,384.548.639-23,14986,6/1/2019
Erick Martins,211.39,322.345.716-00,18169,6/2/2019
Marina Dias,456.94,568.471.528-18,27001,6/10/2019
Nicole Ferreira,767.10,895.932.744-13,27991,6/14/2019
Daniel Fernandes,435.61,996.445.369-83,30486,6/6/2019
Alex Oliveira,490.83,893.975.719-07,47216,6/5/2019
Lavinia Martins,877.29,566.932.858-21,27931,6/1/2019
Guilherme Souza,344.85,396.495.757-74,24081,6/27/2019
Gabriel Barros,108.01,144.708.264-80,47548,6/4/2019
Gabrielly Gomes,791.76,470.646.402-10,19710,6/20/2019
Samuel Oliveira,506.99,733.880.631-41,38972,6/2/2019
Antônio Carvalho,400.07,539.592.556-24,33388,6/13/2019
Lucas Santos,613.16,914.997.760-12,16402,6/10/2019
Anna Sousa,677.29,776.019.381-58,10578,6/5/2019
Maria Gomes,784.97,484.645.474-63,19621,6/13/2019
Rebeca Fernandes,206.23,250.967.115-44,44609,6/14/2019
Luis Santos,943.07,390.656.260-34,19084,6/1/2019
Larissa Lima,942.85,382.234.764-79,17934,6/17/2019
Letícia Carvalho,639.58,745.266.289-05,19123,6/11/2019
Beatrice Barros,113.45,464.006.771-27,49042,6/16/2019
Livia Oliveira,310.82,973.073.095-48,32448,6/23/2019
Carolina Fernandes,818.98,673.452.024-29,18212,6/13/2019
Caio Lima,668.31,610.713.889-75,28669,6/25/2019
Anna Rodrigues,586.83,262.380.145-20,24864,6/1/2019
Kai Silva,423.05,516.308.392-99,26052,6/12/2019
Raissa Silva,750.04,248.831.549-47,33675,6/7/2019
Nicolash Melo,216.38,997.363.737-20,46192,6/3/2019
Estevan Araujo,519.39,630.913.396-96,13392,6/29/2019
Vinicius Ribeiro,551.49,348.032.310-36,10792,6/20/2019
Luiz Sousa,900.64,236.904.777-19,22671,6/26/2019
Isabela Goncalves,570.09,883.455.255-55,47743,6/12/2019
Nicole Melo,253.10,558.337.574-44,27714,6/20/2019
Júlio Almeida,650.31,819.229.060-34,38026,6/23/2019
Eduarda Oliveira,888.48,606.193.985-07,37234,6/10/2019
Leonardo Goncalves,536.31,455.679.472-24,13528,6/14/2019
Pedro Melo,736.51,818.998.969-37,48036,6/6/2019
Luiz Rodrigues,909.52,347.632.653-50,38481,6/1/2019
Clara Ferreira,763.72,481.446.980-29,10752,6/23/2019
João Gomes,923.49,705.607.050-77,10667,6/23/2019
Sofia Dias,626.69,805.509.024-65,38261,6/9/2019
Carolina Cardoso,120.96,300.998.498-79,25155,6/21/2019
Eduarda Martins,715.64,148.039.242-10,31460,6/26/2019
Isabela Carvalho,667.49,453.372.410-87,14500,6/25/2019
Nicolas Rocha,483.02,124.944.915-41,40422,6/14/2019
Livia Dias,840.12,409.029.601-30,44880,6/11/2019
Julia Sousa,562.15,467.812.025-45,29374,6/27/2019
Alice Rocha,628.72,441.441.355-94,28560,6/17/2019
Bianca Fernandes,344.38,444.818.004-29,49161,6/20/2019
Sofia Rodrigues,530.41,455.519.898-01,33212,6/5/2019
Enzo Rocha,109.78,503.633.676-32,15059,6/5/2019
Kai Souza,225.93,157.626.267-76,12844,6/7/2019
Kauê Souza,705.70,367.722.195-11,17548,6/11/2019
Melissa Castro,567.12,508.389.314-21,28658,6/18/2019
Beatriz Santos,312.78,676.382.270-77,10329,6/16/2019
Carla Carvalho,473.43,821.667.490-20,26350,6/12/2019
Nicole Rocha,754.39,557.997.968-10,28390,6/5/2019
Laura Goncalves,119.99,735.462.471-32,39527,6/15/2019
Ágatha Oliveira,295.27,306.351.229-01,49148,6/28/2019
Leila Fernandes,955.76,663.166.265-68,18158,6/21/2019
Sarah Cunha,305.43,508.327.244-08,32391,6/27/2019
Matheus Cardoso,799.06,415.714.021-44,47297,6/18/2019
Sarah Souza,545.55,354.955.931-38,31184,6/15/2019
Laura Azevedo,233.76,371.905.459-48,35054,6/2/2019
Bruna Costa,744.93,833.408.052-29,42083,6/19/2019
Kaua Fernandes,770.13,405.846.517-40,44830,6/9/2019
Luan Santos,224.38,361.876.602-50,40598,6/19/2019
Vitor Santos,947.59,548.343.424-25,19645,6/30/2019
Júlio Cunha,957.62,810.313.077-02,10046,6/28/2019
Leonor Pinto,958.39,254.040.399-90,24599,6/26/2019
Leonardo Souza,267.22,924.255.538-00,17574,6/21/2019
Cauã Pinto,604.76,507.353.626-61,38169,6/14/2019
Daniel Correia,448.59,393.924.780-46,13159,6/21/2019
Beatrice Rocha,831.64,762.469.839-01,10353,6/25/2019
Luis Ribeiro,396.89,183.445.663-04,46696,6/22/2019
Camila Goncalves,548.27,679.768.398-02,38328,6/10/2019
Kai Araujo,648.97,882.465.262-00,21864,6/21/2019
Beatriz Dias,930.16,574.335.292-50,11055,6/9/2019
Julian Sousa,334.21,173.059.593-67,32055,6/15/2019
Gabriel Dias,478.16,526.327.613-36,34659,6/19/2019
Cauã Pereira,308.18,891.636.768-93,45376,6/2/2019
Enzo Fernandes,646.50,728.371.419-76,32419,6/12/2019
Samuel Ribeiro,583.13,632.829.104-36,24527,6/21/2019
Davi Costa,358.96,415.136.607-56,47377,6/17/2019
Enzo Cavalcanti,123.59,945.167.121-80,35722,6/26/2019
Kai Cavalcanti,133.07,738.240.131-69,47310,6/2/2019
Tomás Costa,228.43,845.136.184-69,36481,6/14/2019
Larissa Pereira,429.33,808.356.513-04,47472,6/27/2019
Ryan Dias,891.01,177.978.299-34,21517,6/2/2019
Brenda Rodrigues,391.76,951.982.286-05,40924,6/29/2019
Beatriz Carvalho,952.22,117.378.206-09,13010,6/12/2019
Breno Barros,759.26,508.299.110-81,22832,6/4/2019
Marcos Rocha,358.28,680.642.943-20,18843,6/24/2019
Julia Cunha,476.37,494.509.643-00,41812,6/19/2019
Martim Almeida,723.84,978.462.828-75,35568,6/25/2019
Isabela Almeida,737.87,673.202.261-03,27240,6/29/2019
Ágatha Souza,190.84,595.581.958-47,48808,6/2/2019
Vitór Cunha,831.58,224.275.612-58,14109,6/1/2019
Gabriela Ferreira,647.04,932.759.554-89,42017,6/22/2019
Aline Azevedo,544.64,347.644.611-53,44629,6/23/2019
Matilde Cavalcanti,119.21,309.085.585-20,24331,6/23/2019
Raissa Santos,428.39,332.837.815-40,23410,6/11/2019
Tomás Lima,829.59,525.713.559-02,20263,6/23/2019
Sofia Barbosa,302.89,791.650.276-39,22679,6/1/2019
Kauê Goncalves,201.90,997.210.756-63,43780,6/29/2019
Lucas Souza,460.94,848.686.452-69,31948,6/4/2019
Renan Correia,620.88,748.448.129-71,32915,6/11/2019
Bianca Cunha,182.64,994.275.281-17,34096,6/19/2019
Nicole Goncalves,634.46,974.103.173-45,49248,6/20/2019
Matilde Correia,649.81,482.073.097-50,27139,6/5/2019
Gabrielly Almeida,478.10,192.120.123-10,14186,6/23/2019
Luis Pereira,596.51,401.645.480-84,35258,6/15/2019
Nicolas Carvalho,952.56,256.124.457-17,22819,6/14/2019
Giovanna Castro,895.31,674.947.723-24,44424,6/8/2019
Bruno Fernandes,343.55,728.733.199-33,31898,6/25/2019
Rodrigo Ferreira,612.91,314.936.126-54,49878,6/16/2019
Matheus Costa,740.97,564.577.108-75,32995,6/30/2019
Antônio Rocha,163.26,914.417.680-50,19935,6/25/2019
Sofia Barros,804.76,392.171.316-10,37940,6/15/2019
Amanda Gomes,702.74,741.185.649-55,24420,6/12/2019
Gabriel Melo,425.58,348.931.606-13,41590,6/17/2019
José Martins,532.77,949.533.578-76,49076,6/9/2019
Gabriel Goncalves,684.79,858.745.400-59,22142,6/29/2019
Julian Ferreira,425.39,874.068.110-63,21603,6/16/2019
Cauã Souza,777.39,104.055.153-08,47467,6/17/2019
Renan Fernandes,448.33,249.868.255-42,46520,6/24/2019
Diogo Araujo,861.60,507.096.322-82,43781,6/19/2019
Alice Dias,894.16,552.595.843-09,38535,6/28/2019
Thiago Melo,692.79,700.689.564-28,22974,6/25/2019
Júlia Martins,698.13,845.232.723-44,29042,6/5/2019
Sophia Correia,173.80,881.428.095-91,19899,6/17/2019
Murilo Carvalho,196.54,934.502.294-51,12791,6/1/2019
Bruna Martins,366.25,235.180.801-05,20106,6/26/2019
Caio Lima,886.02,137.297.364-85,12833,6/28/2019
Davi Santos,118.96,265.008.591-62,35128,6/2/2019
Beatrice Cavalcanti,917.33,475.614.966-99,19077,6/29/2019
Gustavo Ribeiro,174.93,323.745.197-59,16329,6/23/2019
Rafael Azevedo,903.59,207.357.728-86,31349,6/15/2019
Matheus Almeida,996.15,334.877.572-81,35573,6/16/2019
Victor Silva,886.23,472.488.545-90,30629,6/11/2019
Luiz Silva,797.60,472.394.499-04,31639,6/28/2019
Brenda Ferreira,771.07,212.596.134-29,13558,6/18/2019
Danilo Ribeiro,957.00,610.065.127-05,41686,6/15/2019
Raissa Correia,841.19,410.999.578-77,17889,6/24/2019
Mariana Cavalcanti,704.41,882.834.037-10,15761,6/29/2019
Melissa Castro,133.87,136.435.465-99,33606,6/29/2019
Miguel Pinto,894.72,758.222.786-71,39669,6/1/2019
Joao Santos,205.02,705.653.083-43,21484,6/3/2019
Thaís Fernandes,376.56,329.211.460-88,12211,6/25/2019
Isabela Gomes,385.36,758.934.840-61,46717,6/14/2019
Giovana Cunha,437.91,321.497.486-65,42399,6/5/2019
João Correia,956.36,507.164.716-80,24559,6/10/2019
Isabella Ribeiro,977.44,204.924.296-42,49682,6/20/2019
Leonardo Oliveira,777.00,937.945.936-00,26966,6/19/2019
Joao Pereira,886.85,779.627.469-63,49443,6/17/2019
Otávio Pinto,177.74,262.103.417-99,49150,6/16/2019
Thaís Dias,505.28,731.887.498-56,26582,6/13/2019
Marisa Pinto,864.90,793.940.415-67,49031,6/12/2019
Arthur Castro,666.38,248.953.515-30,34257,6/10/2019
Paulo Cunha,941.90,759.637.473-50,25492,6/3/2019
Camila Pinto,388.17,529.323.634-25,23589,6/16/2019
Luiza Carvalho,746.17,459.078.271-57,46574,6/3/2019
Luiz Pinto,181.34,435.019.593-97,14779,6/3/2019
Diego Barros,666.45,928.520.639-56,10661,6/4/2019
Manuela Pinto,174.23,415.166.550-10,35591,6/12/2019
Rodrigo Rocha,972.07,706.811.268-41,41788,6/30/2019
Breno Ferreira,376.50,738.914.789-09,13802,6/8/2019
Arthur Araujo,995.70,805.054.529-60,32029,6/16/2019
Fábio Martins,757.23,616.907.130-38,32937,6/11/2019
Felipe Azevedo,895.68,685.762.651-09,31293,6/20/2019
Caio Araujo,625.90,790.500.426-00,28073,6/7/2019
Kai Ribeiro,956.28,147.612.804-92,39602,6/21/2019
Joao Azevedo,823.69,881.523.674-00,31557,6/24/2019
Sofia Fernandes,230.07,235.159.256-51,17398,6/27/2019
Anna Alves,842.80,896.629.228-30,47719,6/25/2019
Júlio Rodrigues,125.07,391.345.703-81,17029,6/7/2019
Gabriel Azevedo,290.33,129.294.006-92,34422,6/15/2019
Vinicius Lima,637.63,758.498.948-96,36664,6/2/2019
Kauê Rodrigues,113.35,392.633.704-43,13506,6/19/2019
Igor Santos,996.63,874.431.892-81,36141,6/22/2019
Carolina Pereira,585.83,883.648.651-70,22519,6/20/2019
